id;name;url
1;Das Erste HD;https://mcdn.daserste.de/daserste/de/master.m3u8
2;ZDF HD;https://zdf-hls-15.akamaized.net/hls/live/2016498/de/veryhigh/master.m3u8
3;3sat;https://zdf-hls-18.akamaized.net/hls/live/2016501/dach/veryhigh/master.m3u8
4;ARTE;https://artesimulcast.akamaized.net/hls/live/2030993/artelive_de/master.m3u8
5;ALPHA;https://mcdn.br.de/br/fs/ard_alpha/hls/de/master.m3u8
6;ONE;https://mcdn.one.ard.de/ardone/hls/master.m3u8
7;ZDFneo;https://zdf-hls-16.akamaized.net/hls/live/2016499/de/veryhigh/master.m3u8
8;ZDFinfo HD;https://zdf-hls-17.akamaized.net/hls/live/2016500/de/veryhigh/master.m3u8
9;Tagesschau 24;https://tagesschau.akamaized.net/hls/live/2020117/tagesschau/tagesschau_3/master.m3u8
10;Phoenix HD;https://zdf-hls-19.akamaized.net/hls/live/2016502/de/veryhigh/master.m3u8
11;WDR HD;https://wdrfs247.akamaized.net/hls/live/681509/wdr_msl4_fs247/master.m3u8
12;SWR Baden-Würtemberg HD;https://swrbwd-hls.akamaized.net/hls/live/2018672/swrbwd/master.m3u8
13;SWR Rheinland-Pfalz HD;https://swrrpd-hls.akamaized.net/hls/live/2018676/swrrpd/master.m3u8
14;SR HD;https://srfs.akamaized.net/hls/live/689649/srfsgeo/master.m3u8
15;NDR Niedersachsen HD;https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_nds/master.m3u8
16;NDR Schleswig-Holstein HD;https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_sh/master.m3u8
17;NDR Mecklenburg-Vorpommern HD;https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_mv/master.m3u8
18;NDR Hamburg HD;https://mcdn.ndr.de/ndr/hls/ndr_fs/ndr_hh/master.m3u8
19;BR Fernsehen Nord HD;https://mcdn.br.de/br/fs/bfs_nord/hls/de/master.m3u8
20;BR Fernsehen Süd HD;https://mcdn.br.de/br/fs/bfs_sued/hls/de/master.m3u8
21;MDR Sachsen-Anhalt HD;https://mdrtvsahls.akamaized.net/hls/live/2016879/mdrtvsa/master.m3u8
22;MDR Sachsen HD;https://mdrtvsnhls.akamaized.net/hls/live/2016928/mdrtvsn/master.m3u8
23;MDR Thüringen HD;https://mdrtvthhls.akamaized.net/hls/live/2016880/mdrtvth/master.m3u8
24;MDR +;https://mdrevent2hls-lh.akamaihd.net/i/livetvmdrevent2_ww@513991/master.m3u8
25;HR HD;https://hrhls.akamaized.net/hls/live/2024525-b/hrhls/master.m3u8
26;RBB Berlin HD;https://rbb-hls-berlin.akamaized.net/hls/live/2017824/rbb_berlin/master.m3u8
27;RBB Brandenburg HD;https://rbb-hls-brandenburg.akamaized.net/hls/live/2017825/rbb_brandenburg/master.m3u8
28;Radio Bremen TV;https://rbhlslive.akamaized.net/hls/live/2020435/rbfs/master.m3u8
29;Deutsche Welle TV Deutsch;https://dwamdstream106.akamaized.net/hls/live/2017965/master.m3u8
30;KiKa;https://kikageohls.akamaized.net/hls/live/2022693/livetvkika_de/master.m3u8
31;Nickelodeon;https://0d26a00dfbb1.airspace-cdn.cbsivideo.com/nick1999/master/master_900.m3u8
32;Servus TV;https://stv-live.akamaized.net/hls/live/2031012/lingeoSTVDEwebPri/master.m3u8
33;Welt der Wunder;https://wdw.iptv-playoutcenter.de/wdw/wdw1/playlist.m3u8
34;ANIXE HD;https://ma.anixa.tv/clips/stream/anixehd/index.m3u8
35;health.tv;http://62.67.13.53:1935/HealthTV/ghtv_live_master.stream/playlist.m3u8
36;Muxx.TV;https://h056.video-stream-hosting.de/easycast9-live/_definst_/mp4:livestream99/master.m3u8
37;MyTVplus;https://mytvplus.iptv-playoutcenter.de/mytvplus/mytvplus.stream_1/playlist.m3u8
38;Red Bull TV;https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
39;More than Sports TV;https://mts1.iptv-playoutcenter.de/mts/mts-web/playlist.m3u8
40;OE24.TV;https://varoe24live.sf.apa.at/oe24-live1/oe24.smil/playlist.m3u8
41;WELT;https://w-live2weltcms.akamaized.net/hls/live/2041019/Welt-LivePGM/index.m3u8
42;WELT News;https://w-news2weltcms.akamaized.net/hls/live/2040885/Welt-NextNews/index.m3u8
43;Euronews deutsch;https://rakuten-euronews-5-de.samsung.wurl.com/manifest/playlist.m3u8
44;Bild;https://bild.personalstream.tv/v1/master.m3u8
45;DerAktionaer.tv;https://live2.telvi.de/hls/aktionaertv_hd720.m3u8
46;meteonews.tv (Schweiz);https://streaming.meteonews.net/hls/stream.m3u8
47;Bundestag Kanal 1;https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk1/_definst_/live/video/hk1_de.smil/playlist.m3u8
48;Bundestag Kanal 2;https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk2/_definst_/live/video/hk2_de.smil/playlist.m3u8
49;Bundestag Kanal 3;https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk3/_definst_/live/video/hk3_de.smil/playlist.m3u8
50;Bundestag Kanal 4;https://bttv-live-z.r53.cdn.tv1.eu/13014bundestag-hk4/_definst_/live/video/hk4_de.smil/playlist.m3u8
51;Europe by Satellite Kanal 1;https://euc-live.fl.freecaster.net/live/eucom/ebs.m3u8?filter=(systemBitrate%3C5000000%26%26type==%22video%22%7C%7CsystemLanguage==%22ger%22)
